h,Done
http://www.dailytenminutes.com/2017/04/in-class-i-teach-for-adults-i-recently.html,1
http://www.dailytenminutes.com/2017/07/story-amithabh-bachan-traveling.html,0
http://www.dailytenminutes.com/2017/07/story-life-is-like-cup-of-coffee.html,0
http://www.dailytenminutes.com/2017/09/success-story-honda-motor-co-soichiro.html,0
http://www.dailytenminutes.com/2017/09/story-rich-lady-speaking-to-mary.html,0
http://www.dailytenminutes.com/2017/09/success-story-fred-smith-federal-express.html,0
http://www.dailytenminutes.com/2017/08/only-dead-man.html,0
http://www.dailytenminutes.com/2017/08/story-everyone-is-unfaithful-to-me.html,0
http://www.dailytenminutes.com/2017/08/story-three-dolls.html,0
http://www.dailytenminutes.com/2017/07/short-story-why-are-you-unlucky.html,0
http://www.dailytenminutes.com/2017/09/story-newlywed-youg-man-speaks-to-his.html,0
http://www.dailytenminutes.com/2017/09/story-charity-wrapped-in-dignity.html,0
http://www.dailytenminutes.com/2017/09/story-my-husband-does-not-make-me-happy.html,0
http://www.dailytenminutes.com/2017/09/story-arthur-ashe-someone-dying-of-aids.html,0
http://www.dailytenminutes.com/2017/09/story-i-lost-50-currency-notes.html,0
http://www.dailytenminutes.com/2017/09/story-army-guys-nice-gesture.html,0
http://www.dailytenminutes.com/2017/09/i-did-this-to-my-wife-and-i-regret-it.html,0
http://www.dailytenminutes.com/2017/09/story-rabit-in-swimming-school.html,0
http://www.dailytenminutes.com/2017/07/story-technology-is-not-life.html,0
http://www.dailytenminutes.com/2016/04/story-from-candles-to-soap.html,0
http://www.dailytenminutes.com/2016/04/story-bryan-old-lady-and-young-lady.html,0
http://www.dailytenminutes.com/2016/04/story-senior-management-speaks-to.html,0
http://www.dailytenminutes.com/2016/04/story-running-your-own-race.html,0
http://www.dailytenminutes.com/2016/04/6-billion-company-that-started-with.html,0
http://www.dailytenminutes.com/2016/04/who-will-you-chose-to-be-drive-1-or.html,0
http://www.dailytenminutes.com/2016/04/bad-result-small-story.html,0
http://www.dailytenminutes.com/2016/04/story-piece-of-paper.html,0
http://www.dailytenminutes.com/2016/04/story-twist-in-murder-story.html,0
http://www.dailytenminutes.com/2016/04/story-charming-senior-couple-and-their.html,0
http://www.dailytenminutes.com/2016/03/story-of-mother-hen.html,0
http://www.dailytenminutes.com/2016/03/story-shark-and-glass-wall.html,0
http://www.dailytenminutes.com/2016/03/story-good-people-bad-people.html,0
http://www.dailytenminutes.com/2016/03/story-power-of-empathy.html,0
http://www.dailytenminutes.com/2016/03/story-jennys-necklace.html,0
http://www.dailytenminutes.com/2016/03/story-lady-trying-to-find-happiness.html,0
http://www.dailytenminutes.com/2016/03/humor-economics-professor.html,0
http://www.dailytenminutes.com/2016/02/boy-girl-doll.html,0
